,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
4344,31911,1,1.0,2,,5,11,17,2,1.0,6,1,2,3,5,3,2,5,3,Version 2,.508285343647003,6,2,11,2,1,1,2,2,2,1.0,1,5,1
4354,31939,2,,1,2.0,1,1,3,1,2.0,1,2,5,1,2,1,2,5,3,Version 2,1.27245211601257,1,1,12,2,1,2,3,2,1,5.0,3,3,2
4356,31941,1,1.0,2,1.0,6,3,15,2,2.0,3,3,4,1,4,1,2,1,2,Version 2,.538437008857727,2,1,33,2,2,1,1,1,2,7.0,1,5,1
4358,31950,1,1.0,1,1.0,8,4,20,5,2.0,2,1,1,2,7,1,4,2,3,Version 2,1.01905739307404,1,1,30,1,1,1,1,1,2,1.0,1,1,1
4363,31961,1,1.0,1,1.0,7,4,9,3,2.0,2,1,1,1,5,1,2,2,3,Version 2,.836293995380402,1,1,33,3,2,1,3,1,2,3.0,2,1,1
4371,31981,2,2.0,1,2.0,2,1,5,5,2.0,1,2,5,3,1,1,4,5,3,Version 2,.343563854694366,1,1,6,2,1,2,2,2,1,1.0,2,2,3
4372,31986,1,,1,1.0,5,3,2,5,2.0,3,3,3,2,6,1,4,1,1,Version 2,.676459014415741,1,1,28,1,1,1,1,1,2,3.0,2,4,2
4373,31987,1,1.0,2,,4,2,6,4,2.0,2,1,2,1,5,1,2,1,2,Version 2,.508285343647003,2,1,11,1,1,1,1,1,2,1.0,1,4,1
4379,32006,2,,1,2.0,6,3,5,5,2.0,1,2,5,3,1,1,4,1,1,Version 2,1.86986529827118,1,1,28,2,3,2,2,2,3,1.0,2,2,2
4380,32009,2,2.0,2,,8,12,17,4,1.0,1,2,6,3,1,3,2,5,3,Version 2,1.45140504837036,6,2,11,2,1,2,2,2,3,1.0,1,3,1
4383,32018,2,2.0,2,,7,4,1,4,2.0,1,2,6,1,2,1,2,1,2,Version 2,1.84500634670258,2,1,11,2,1,2,2,1,1,1.0,3,1,2
4384,32019,3,1.0,2,2.0,6,3,4,4,2.0,3,3,4,1,4,1,4,1,2,Version 2,.688262104988098,2,1,30,2,1,3,1,1,1,1.0,3,3,2
4386,32024,1,1.0,1,,3,2,16,3,2.0,2,1,1,3,5,1,2,1,1,Version 2,.450110226869583,1,1,11,3,1,1,3,1,2,3.0,3,1,2
4395,32059,1,1.0,1,,8,4,16,1,2.0,2,1,1,2,7,1,2,1,1,Version 2,.800131261348724,1,1,11,2,1,1,1,1,2,3.0,2,1,1
4411,32093,3,2.0,2,2.0,6,3,20,5,2.0,3,3,4,3,3,1,4,2,3,Version 2,.909489214420319,2,1,30,2,1,2,1,2,2,2.0,1,2,1
4422,32112,2,2.0,1,2.0,2,1,8,4,2.0,3,3,3,1,4,1,2,1,1,Version 2,.664433360099792,1,1,33,2,1,2,3,1,2,7.0,4,2,2
4430,32131,2,1.0,1,,1,1,6,4,2.0,1,2,5,1,2,1,2,1,1,Version 2,.610934495925903,1,1,11,1,2,2,1,1,1,7.0,1,2,2
4438,32154,3,,2,2.0,5,3,5,4,2.0,3,3,4,1,4,1,4,1,2,Version 2,1.8517279624939,2,1,28,2,1,2,2,2,1,1.0,3,4,3
4440,32159,1,,2,1.0,8,4,9,4,2.0,2,1,2,2,7,1,4,1,2,Version 2,.955124497413635,2,1,28,1,1,1,1,2,2,4.0,1,1,1
